 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
      99  4.62500000E+02  6.25000000E+01  8.36185138E-01  1.52181698E-01  9.88366836E-01  2.50000000E-02  2.18697191E-13 -7.68509695E-12 
     100  4.87500000E+02  6.25000000E+01 -7.66004509E-01  1.75437134E+00  9.88366836E-01  2.50000000E-02  1.86144373E-12 -5.77565492E-12 
     101  5.12500000E+02  6.25000000E+01 -8.56193929E-01  1.84456076E+00  9.88366836E-01  2.50000000E-02  1.97209828E-12 -6.29262857E-13 
     102  5.37500000E+02  6.25000000E+01  7.96759260E-01  1.91607576E-01  9.88366836E-01  2.50000000E-02  5.76335356E-12  1.64031491E-12 
     103  5.62500000E+02  6.25000000E+01  9.10743014E-01  7.76238223E-02  9.88366836E-01  2.50000000E-02  6.85443635E-12  4.08505347E-12 
     104  5.87500000E+02  6.25000000E+01  4.33256348E-01  5.55110488E-01  9.88366836E-01  2.50000000E-02  1.26854885E-12  6.70858721E-13 
     105  6.12500000E+02  6.25000000E+01 -2.25020687E-01  1.21338752E+00  9.88366836E-01  2.50000000E-02  1.41842375E-12 -1.60206680E-12 
     106  6.37500000E+02  6.25000000E+01  4.75225974E-01  5.13140862E-01  9.88366836E-01  2.50000000E-02  1.82090351E-12 -1.10076249E-12 
     107  6.62500000E+02  6.25000000E+01  4.58719477E-01  5.29647359E-01  9.88366836E-01  2.50000000E-02  1.80946665E-12 -9.36586089E-13 
     108  6.87500000E+02  6.25000000E+01  9.60961101E-01  2.74057348E-02  9.88366836E-01  2.50000000E-02  4.90575307E-12  1.18706006E-12 
     109  7.12500000E+02  6.25000000E+01 -4.20474387E-01  1.40884122E+00  9.88366836E-01  2.50000000E-02  3.10437190E-13 -3.74625307E-13 
     110  7.37500000E+02  6.25000000E+01 -3.14378457E-01  1.30274529E+00  9.88366836E-01  2.50000000E-02  2.21908268E-13  7.28234830E-13 
     111  7.62500000E+02  6.25000000E+01 -1.11089879E-01  1.09945671E+00  9.88366836E-01  2.50000000E-02  1.45416119E-13 -1.53244679E-14 
     112  7.87500000E+02  6.25000000E+01 -7.61144773E-01  1.74951161E+00  9.88366836E-01  2.50000000E-02  1.56165901E-13  8.50377588E-14 
     113  8.12500000E+02  6.25000000E+01 -3.67239481E-02  1.02509078E+00  9.88366836E-01  2.50000000E-02  1.75380784E-13  1.35091418E-13 
     114  8.37500000E+02  6.25000000E+01 -9.98738683E-01  1.98710552E+00  9.88366836E-01  2.50000000E-02  2.01630840E-13  5.97458025E-13 
     115  8.62500000E+02  6.25000000E+01 -8.80356106E-01  1.86872294E+00  9.88366836E-01  2.50000000E-02  2.47731812E-13  2.47518281E-13 
     116  8.87500000E+02  6.25000000E+01 -6.14383111E-01  1.60274995E+00  9.88366836E-01  2.50000000E-02  3.64051843E-13 -3.08736808E-14 
     117  9.12500000E+02  6.25000000E+01  3.58235454E-01  6.30131382E-01  9.88366836E-01  2.50000000E-02  6.84032431E-13  2.32308120E-13 
     118  9.37500000E+02  6.25000000E+01  6.03469246E-01  3.84897590E-01  9.88366836E-01  2.50000000E-02  8.37421585E-13 -1.39347424E-13 
     119  9.62500000E+02  6.25000000E+01  4.41048308E-01  5.47318528E-01  9.88366836E-01  2.50000000E-02  8.06902378E-13 -4.48232609E-13 
     120  9.87500000E+02  6.25000000E+01  9.11711479E-01  7.66553565E-02  9.88366836E-01  2.50000000E-02  5.04736309E-13 -1.91192514E-13 
     121  1.25000000E+01  8.75000000E+01  1.08678609E-01  8.79688227E-01  9.88366836E-01  2.50000000E-02 -4.67742286E-13  4.82333290E-13 
     122  3.75000000E+01  8.75000000E+01 -2.28846589E-01  1.21721342E+00  9.88366836E-01  2.50000000E-02 -1.24270586E-12  7.08513276E-15 
     123  6.25000000E+01  8.75000000E+01 -3.58835185E-01  1.34720202E+00  9.88366836E-01  2.50000000E-02 -1.60136407E-12  9.48804247E-13 
     124  8.75000000E+01  8.75000000E+01 -2.64391871E-01  1.25275871E+00  9.88366836E-01  2.50000000E-02 -2.15986506E-12  1.94668738E-12 
     125  1.12500000E+02  8.75000000E+01 -7.25763198E-02  1.06094316E+00  9.88366836E-01  2.50000000E-02 -1.69230983E-12 -3.33242835E-12 
     126  1.37500000E+02  8.75000000E+01 -1.54400161E-01  1.14276700E+00  9.88366836E-01  2.50000000E-02  3.72341068E-13 -8.56096546E-12 
     127  1.62500000E+02  8.75000000E+01 -5.69328360E-02  1.04529967E+00  9.88366836E-01  2.50000000E-02  1.55019976E-12  1.30260285E-13 
     128  1.87500000E+02  8.75000000E+01  9.24570212E-02  8.95909815E-01  9.88366836E-01  2.50000000E-02  1.49535789E-12  1.74479884E-12 
     129  2.12500000E+02  8.75000000E+01 -4.43656183E-01  1.43202302E+00  9.88366836E-01  2.50000000E-02  9.07712305E-13  9.67076651E-13 
     130  2.37500000E+02  8.75000000E+01 -5.57667035E-01  1.54603387E+00  9.88366836E-01  2.50000000E-02  7.26290536E-13  3.79163508E-13 
     131  2.62500000E+02  8.75000000E+01  8.18492517E-01  1.69874319E-01  9.88366836E-01  2.50000000E-02  1.01451615E-12  2.26475310E-12 
     132  2.87500000E+02  8.75000000E+01 -5.73086483E-01  1.56145332E+00  9.88366836E-01  2.50000000E-02 -2.40974317E-13  1.05246570E-12 
     133  3.12500000E+02  8.75000000E+01 -8.05166683E-01  1.79353352E+00  9.88366836E-01  2.50000000E-02 -3.81867732E-13  2.18287331E-12 
     134  3.37500000E+02  8.75000000E+01 -3.46934284E-01  1.33530112E+00  9.88366836E-01  2.50000000E-02 -3.47379566E-13 -5.83080698E-13 
     135  3.62500000E+02  8.75000000E+01 -3.61523406E-01  1.34989024E+00  9.88366836E-01  2.50000000E-02 -2.43414766E-13  1.38011783E-12 
     136  3.87500000E+02  8.75000000E+01 -3.84854875E-01  1.37322171E+00  9.88366836E-01  2.50000000E-02 -3.48812485E-13 -2.00051458E-13 
     137  4.12500000E+02  8.75000000E+01  6.99363783E-01  2.89003053E-01  9.88366836E-01  2.50000000E-02  3.97673618E-12 -1.72433831E-11 
     138  4.37500000E+02  8.75000000E+01 -8.75640272E-01  1.86400711E+00  9.88366836E-01  2.50000000E-02  8.27056132E-12 -3.12954365E-12 
     139  4.62500000E+02  8.75000000E+01  6.10751907E-01  3.77614929E-01  9.88366836E-01  2.50000000E-02  1.10555271E-11 -1.03277864E-11 
     140  4.87500000E+02  8.75000000E+01  3.56843358E-01  6.31523478E-01  9.88366836E-01  2.50000000E-02  1.13122229E-11 -7.88585059E-12 
     141  5.12500000E+02  8.75000000E+01  1.64731033E-01  8.23635803E-01  9.88366836E-01  2.50000000E-02  9.29349119E-12  3.60368514E-13 
     142  5.37500000E+02  8.75000000E+01 -7.42538812E-01  1.73090565E+00  9.88366836E-01  2.50000000E-02  6.23911490E-12 -1.18499005E-12 
     143  5.62500000E+02  8.75000000E+01 -9.48118006E-01  1.93648484E+00  9.88366836E-01  2.50000000E-02  5.35185061E-12  2.45869236E-12 
     144  5.87500000E+02  8.75000000E+01 -3.36867799E-01  1.32523463E+00  9.88366836E-01  2.50000000E-02  4.85480210E-12  8.82053707E-13 
     145  6.12500000E+02  8.75000000E+01 -8.26321860E-01  1.81468870E+00  9.88366836E-01  2.50000000E-02  4.97194666E-12 -1.02142883E-12 
     146  6.37500000E+02  8.75000000E+01  4.72054294E-01  5.16312541E-01  9.88366836E-01  2.50000000E-02  7.20553425E-12 -1.30620286E-12 
     147  6.62500000E+02  8.75000000E+01  3.81361642E-01  6.07005194E-01  9.88366836E-01  2.50000000E-02  6.70340131E-12 -5.04048027E-13 
     148  6.87500000E+02  8.75000000E+01  2.08037102E-01  7.80329734E-01  9.88366836E-01  2.50000000E-02  6.41123422E-12  2.36967424E-12 
