 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
     119  9.62500000E+02  6.25000000E+01  4.41048308E-01  5.47320121E-01  9.88368429E-01  2.50000000E-02  1.46036304E-06  3.51867151E-07 
     120  9.87500000E+02  6.25000000E+01  9.11711479E-01  7.66569559E-02  9.88368435E-01  2.50000000E-02  5.43767627E-07 -1.92235859E-07 
     121  1.25000000E+01  8.75000000E+01  1.08678609E-01  8.79687703E-01  9.88366312E-01  2.50000000E-02 -4.05725685E-07  4.34398772E-07 
     122  3.75000000E+01  8.75000000E+01 -2.28846589E-01  1.21721294E+00  9.88366351E-01  2.50000000E-02 -1.09544075E-06  1.74432152E-08 
     123  6.25000000E+01  8.75000000E+01 -3.58835185E-01  1.34720153E+00  9.88366347E-01  2.50000000E-02 -1.46911148E-06  1.61941823E-06 
     124  8.75000000E+01  8.75000000E+01 -2.64391871E-01  1.25275804E+00  9.88366166E-01  2.50000000E-02 -2.36841310E-06  4.77693924E-06 
     125  1.12500000E+02  8.75000000E+01 -7.25763198E-02  1.06094269E+00  9.88366373E-01  2.50000000E-02 -3.58198407E-06  5.81702378E-07 
     126  1.37500000E+02  8.75000000E+01 -1.54400161E-01  1.14276682E+00  9.88366654E-01  2.50000000E-02 -3.35368429E-06  1.36840056E-06 
     127  1.62500000E+02  8.75000000E+01 -5.69328360E-02  1.04529910E+00  9.88366264E-01  2.50000000E-02 -3.49110580E-06  5.09055028E-06 
     128  1.87500000E+02  8.75000000E+01  9.24570212E-02  8.95909320E-01  9.88366341E-01  2.50000000E-02 -4.96961799E-06  6.61127381E-06 
     129  2.12500000E+02  8.75000000E+01 -4.43656183E-01  1.43202303E+00  9.88366847E-01  2.50000000E-02 -4.55130170E-06 -8.23664738E-08 
     130  2.37500000E+02  8.75000000E+01 -5.57667035E-01  1.54603347E+00  9.88366436E-01  2.50000000E-02 -4.62173993E-06 -1.09761765E-06 
     131  2.62500000E+02  8.75000000E+01  8.18492517E-01  1.69876739E-01  9.88369256E-01  2.50000000E-02 -1.20724401E-05 -3.72520050E-05 
     132  2.87500000E+02  8.75000000E+01 -5.73086483E-01  1.56145550E+00  9.88369021E-01  2.50000000E-02  1.71591384E-07 -6.93968302E-06 
     133  3.12500000E+02  8.75000000E+01 -8.05166683E-01  1.79353532E+00  9.88368641E-01  2.50000000E-02 -4.27259752E-07  3.10891661E-06 
     134  3.37500000E+02  8.75000000E+01 -3.46934284E-01  1.33530322E+00  9.88368939E-01  2.50000000E-02 -1.60072002E-06 -4.25165223E-06 
     135  3.62500000E+02  8.75000000E+01 -3.61523406E-01  1.34989240E+00  9.88368994E-01  2.50000000E-02 -1.80779608E-06 -4.26298604E-06 
     136  3.87500000E+02  8.75000000E+01 -3.84854875E-01  1.37322357E+00  9.88368691E-01  2.50000000E-02 -2.66197252E-06 -2.25974907E-07 
     137  4.12500000E+02  8.75000000E+01  6.99363783E-01  2.89005825E-01  9.88369608E-01  2.50000000E-02 -1.39378632E-05  5.66862758E-07 
     138  4.37500000E+02  8.75000000E+01 -8.75640272E-01  1.86400938E+00  9.88369112E-01  2.50000000E-02 -2.24400626E-05  7.01438114E-06 
     139  4.62500000E+02  8.75000000E+01  6.10751907E-01  3.77617483E-01  9.88369390E-01  2.50000000E-02 -2.61922899E-05  4.48891604E-07 
     140  4.87500000E+02  8.75000000E+01  3.56843358E-01  6.31526404E-01  9.88369762E-01  2.50000000E-02 -2.60223586E-05 -9.10192415E-06 
     141  5.12500000E+02  8.75000000E+01  1.64731033E-01  8.23638437E-01  9.88369470E-01  2.50000000E-02 -2.56968271E-05 -3.97624054E-06 
     142  5.37500000E+02  8.75000000E+01 -7.42538812E-01  1.73090427E+00  9.88365457E-01  2.50000000E-02 -3.96045282E-05  5.16990810E-05 
     143  5.62500000E+02  8.75000000E+01 -9.48118006E-01  1.93648494E+00  9.88366931E-01  2.50000000E-02 -4.46105294E-05 -1.51570649E-05 
     144  5.87500000E+02  8.75000000E+01 -3.36867799E-01  1.32523547E+00  9.88367669E-01  2.50000000E-02 -4.36889042E-05 -3.47558352E-06 
     145  6.12500000E+02  8.75000000E+01 -8.26321860E-01  1.81468643E+00  9.88364568E-01  2.50000000E-02 -4.84178660E-05  3.62203872E-07 
     146  6.37500000E+02  8.75000000E+01  4.72054294E-01  5.16314617E-01  9.88368911E-01  2.50000000E-02 -7.87536757E-05  1.49396821E-05 
     147  6.62500000E+02  8.75000000E+01  3.81361642E-01  6.07008540E-01  9.88370181E-01  2.50000000E-02 -8.23263029E-05 -4.78159723E-06 
     148  6.87500000E+02  8.75000000E+01  2.08037102E-01  7.80334011E-01  9.88371113E-01  2.50000000E-02 -7.47855658E-05 -4.80896785E-05 
     149  7.12500000E+02  8.75000000E+01  7.21356006E-01  2.67011660E-01  9.88367666E-01  2.50000000E-02 -4.80374933E-05 -2.75903827E-06 
     150  7.37500000E+02  8.75000000E+01 -6.36567943E-01  1.62493701E+00  9.88369070E-01  2.50000000E-02 -3.18279812E-05 -6.17698525E-06 
     151  7.62500000E+02  8.75000000E+01  2.81442429E-01  7.06925764E-01  9.88368194E-01  2.50000000E-02 -2.75263098E-05  6.43180377E-07 
     152  7.87500000E+02  8.75000000E+01 -8.69344436E-01  1.85771264E+00  9.88368205E-01  2.50000000E-02 -2.57350445E-05  7.81150803E-09 
     153  8.12500000E+02  8.75000000E+01  2.54507633E-01  7.33860489E-01  9.88368122E-01  2.50000000E-02 -2.26110991E-05 -2.78200883E-06 
     154  8.37500000E+02  8.75000000E+01 -1.03986893E-01  1.09235515E+00  9.88368257E-01  2.50000000E-02 -1.87200650E-05 -1.00603203E-06 
     155  8.62500000E+02  8.75000000E+01  1.39175414E-01  8.49192620E-01  9.88368035E-01  2.50000000E-02 -1.54103678E-05 -1.13417319E-06 
     156  8.87500000E+02  8.75000000E+01 -8.52254150E-01  1.84062240E+00  9.88368246E-01  2.50000000E-02 -1.18071352E-05  1.87663557E-06 
     157  9.12500000E+02  8.75000000E+01  9.24882240E-02  8.95879560E-01  9.88367784E-01  2.50000000E-02 -8.86480543E-06  1.59221035E-06 
     158  9.37500000E+02  8.75000000E+01  2.11924596E-01  7.76442846E-01  9.88367442E-01  2.50000000E-02 -8.11987896E-06 -3.66451363E-06 
     159  9.62500000E+02  8.75000000E+01  7.91661204E-01  1.96706674E-01  9.88367878E-01  2.50000000E-02 -7.45675352E-06  9.69044243E-08 
     160  9.87500000E+02  8.75000000E+01 -7.84772235E-01  1.77314057E+00  9.88368332E-01  2.50000000E-02 -1.94908998E-07 -6.03667584E-07 
     161  1.25000000E+01  1.12500000E+02 -1.38517810E-01  1.12688409E+00  9.88366280E-01  2.50000000E-02 -3.30114437E-08  1.14096482E-06 
     162  3.75000000E+01  1.12500000E+02 -5.15752501E-01  1.50411878E+00  9.88366274E-01  2.50000000E-02 -1.14570675E-07  4.82174915E-07 
     163  6.25000000E+01  1.12500000E+02  6.79722152E-01  3.08644152E-01  9.88366304E-01  2.50000000E-02 -6.35215620E-07  2.16172288E-06 
     164  8.75000000E+01  1.12500000E+02  3.93778443E-01  5.94587788E-01  9.88366231E-01  2.50000000E-02 -1.41701562E-06  5.71199994E-06 
     165  1.12500000E+02  1.12500000E+02 -7.51376039E-01  1.73974233E+00  9.88366292E-01  2.50000000E-02 -1.62339375E-06  4.94233421E-07 
     166  1.37500000E+02  1.12500000E+02  9.94759526E-01  3.09742195E-06  9.94762623E-01  2.50000000E-02  4.71108588E-09  5.72321289E-09 
     167  1.62500000E+02  1.12500000E+02 -5.96844762E-03  9.94335263E-01  9.88366816E-01  2.50000000E-02 -6.47161726E-06  8.03171508E-06 
     168  1.87500000E+02  1.12500000E+02  2.73210245E-01  7.15156103E-01  9.88366348E-01  2.50000000E-02 -8.13549653E-06  9.99508448E-06 
