# time h_mean u_mean v_mean w_mean
  4.471394380946096E+02  4.629559585834702E+00  1.238760902186244E+00  1.248497260288801E-17  1.000000000000000E+00
  4.480973255649284E+02  4.629753826226793E+00  1.238813751604630E+00  6.352650718016905E-18  1.000000000000000E+00
  4.490551844312223E+02  4.629946788707864E+00  1.238866223974023E+00  1.998691014223277E-17  1.000000000000000E+00
  4.500130148864428E+02  4.630138481674013E+00  1.238918322477798E+00  3.858527644352976E-17  1.000000000000000E+00
  4.514497056644009E+02  4.630423658613545E+00  1.238995776004779E+00  3.086413760073294E-17  1.000000000000000E+00
  4.524074627850017E+02  4.630612213565392E+00  1.239046953379708E+00  4.878764012575665E-17  1.000000000000000E+00
  4.533651907515797E+02  4.630799527708792E+00  1.239097767688017E+00  3.918036205781146E-17  1.000000000000000E+00
  4.543228897605797E+02  4.630985609212027E+00  1.239148221961810E+00  3.272449259858930E-17  1.000000000000000E+00
  4.552805600070205E+02  4.631170466191724E+00  1.239198319200387E+00  1.792308384050300E-17  1.000000000000000E+00
  4.562382016845078E+02  4.631354106713122E+00  1.239248062370707E+00  3.085212405685327E-17  1.000000000000000E+00
  4.571958149852450E+02  4.631536538790315E+00  1.239297454407827E+00  1.633995485751307E-17  1.000000000000000E+00
  4.581534001000462E+02  4.631717770386531E+00  1.239346498215341E+00  2.413758672828574E-17  1.000000000000000E+00
  4.591109572183468E+02  4.631897809414375E+00  1.239395196665813E+00  4.226152068843566E-17  1.000000000000000E+00
  4.600684865282158E+02  4.632076663736099E+00  1.239443552601201E+00  4.629042406692608E-17  1.000000000000000E+00
  4.610259882163671E+02  4.632254341163859E+00  1.239491568833276E+00  6.368988638483373E-17  1.000000000000000E+00
  4.624621893630048E+02  4.632518667595831E+00  1.239562962315248E+00  6.105707973800755E-17  1.000000000000000E+00
  4.634196228049420E+02  4.632693436640463E+00  1.239610141396126E+00  7.279592705367722E-17  1.000000000000000E+00
  4.643770292681494E+02  4.632867055742938E+00  1.239656990383043E+00  5.406003478342214E-17  1.000000000000000E+00
  4.653344089333801E+02  4.633039532493210E+00  1.239703511956928E+00  3.858878352989661E-17  1.000000000000000E+00
  4.662917619800933E+02  4.633210874432569E+00  1.239749708770704E+00 -7.527533339404926E-19  1.000000000000000E+00
  4.672490885864642E+02  4.633381089053913E+00  1.239795583449673E+00  2.647476868629577E-17  1.000000000000000E+00
  4.682063889293946E+02  4.633550183801993E+00  1.239841138591882E+00  1.221729003481658E-17  1.000000000000000E+00
  4.691636631845237E+02  4.633718166073690E+00  1.239886376768490E+00  1.699238748255058E-17  1.000000000000000E+00
  4.701209115262382E+02  4.633885043218266E+00  1.239931300524133E+00  2.161206113706124E-17  1.000000000000000E+00
  4.710781341276828E+02  4.634050822537627E+00  1.239975912377270E+00 -3.669858584090198E-18  1.000000000000000E+00
  4.720353311607699E+02  4.634215511286583E+00  1.240020214820537E+00 -1.734413293259294E-17  1.000000000000000E+00
  4.734710791427842E+02  4.634460515345219E+00  1.240086093731957E+00 -2.852567212820657E-18  1.000000000000000E+00
  4.744282129991000E+02  4.634622509101254E+00  1.240129633389459E+00  2.980669483276045E-17  1.000000000000000E+00
  4.753853218791937E+02  4.634783437311608E+00  1.240172872162874E+00  5.601371222948609E-17  1.000000000000000E+00
  4.763424059495564E+02  4.634943307022382E+00  1.240215812432806E+00  6.250597618835405E-17  1.000000000000000E+00
  4.772994653755012E+02  4.635102125234006E+00  1.240258456555865E+00  5.217587894533514E-17  1.000000000000000E+00
  4.782565003211723E+02  4.635259898901508E+00  1.240300806864974E+00  5.847908689518998E-17  1.000000000000000E+00
  4.792135109495550E+02  4.635416634934761E+00  1.240342865669684E+00  7.544106140551443E-17  1.000000000000000E+00
  4.801704974224845E+02  4.635572340198743E+00  1.240384635256477E+00  6.469625761849451E-17  1.000000000000000E+00
  4.811274599006554E+02  4.635727021513797E+00  1.240426117889069E+00  6.251307815213582E-17  1.000000000000000E+00
  4.820843985436307E+02  4.635880685655887E+00  1.240467315808703E+00  6.587515385948229E-17  1.000000000000000E+00
  4.830413135098508E+02  4.636033339356851E+00  1.240508231234448E+00  6.912806947984767E-17  1.000000000000000E+00
  4.844766419091152E+02  4.636260439949186E+00  1.240569079497421E+00  3.362816151845579E-17  1.000000000000000E+00
  4.854334983693381E+02  4.636410596711865E+00  1.240609298253879E+00  8.005473335077027E-18  1.000000000000000E+00
  4.863903316986357E+02  4.636559766251054E+00  1.240649242112621E+00  2.142477133205887E-17  1.000000000000000E+00
  4.873471420505062E+02  4.636707955103182E+00  1.240688913196394E+00  1.274809583414670E-17  1.000000000000000E+00
  4.883039295773738E+02  4.636855169761951E+00  1.240728313607294E+00  6.865885795818261E-18  1.000000000000000E+00
  4.892606944305962E+02  4.637001416678586E+00  1.240767445427025E+00  1.211325664923467E-17  1.000000000000000E+00
  4.902174367604737E+02  4.637146702262087E+00  1.240806310717158E+00 -1.728104497257269E-18  1.000000000000000E+00
  4.911741567162575E+02  4.637291032879478E+00  1.240844911519393E+00  3.707050466473560E-18  1.000000000000000E+00
  4.921308544461575E+02  4.637434414856060E+00  1.240883249855802E+00 -1.791443667106674E-18  1.000000000000000E+00
  4.930875300973508E+02  4.637576854475652E+00  1.240921327729085E+00 -6.889783638467656E-18  1.000000000000000E+00
  4.940441838159895E+02  4.637718357980852E+00  1.240959147122806E+00 -1.742214494104154E-17  1.000000000000000E+00
  4.950008157472091E+02  4.637858931573267E+00  1.240996710001640E+00 -1.148243013659179E-17  1.000000000000000E+00
  4.964357231076300E+02  4.638068061841261E+00  1.241052577606353E+00  2.731060159105897E-18  1.000000000000000E+00
  4.973923011986669E+02  4.638206337517047E+00  1.241089507671569E+00  1.639168151850854E-17  1.000000000000000E+00
  4.983488580023642E+02  4.638343704666507E+00  1.241126187952871E+00  2.425307865858035E-18  1.000000000000000E+00
  4.993053936593783E+02  4.638480169309872E+00  1.241162620332799E+00  2.124549529484024E-17  1.000000000000000E+00
  5.002619083093913E+02  4.638615737427732E+00  1.241198806676257E+00 -3.710501692881004E-18  1.000000000000000E+00
  5.012184020911186E+02  4.638750414961283E+00  1.241234748830736E+00 -2.270662096593528E-17  1.000000000000000E+00
  5.021748751423163E+02  4.638884207812565E+00  1.241270448626524E+00 -2.206233388072589E-17  1.000000000000000E+00
  5.031313275997886E+02  4.639017121844704E+00  1.241305907876916E+00 -2.327109115148848E-18  1.000000000000000E+00
  5.040877595993952E+02  4.639149162882146E+00  1.241341128378430E+00 -1.022061944893320E-17  1.000000000000000E+00
  5.050441712760583E+02  4.639280336710900E+00  1.241376111911001E+00 -9.890874561022212E-18  1.000000000000000E+00
  5.060005627637698E+02  4.639410649078773E+00  1.241410860238189E+00  1.257291151100412E-18  1.000000000000000E+00
  5.074351124318906E+02  4.639604514871382E+00  1.241462545536907E+00  2.483388495671146E-17  1.000000000000000E+00
  5.083914540273979E+02  4.639732698485130E+00  1.241496713460535E+00  2.434255695564110E-17  1.000000000000000E+00
  5.093477758957024E+02  4.639860040457874E+00  1.241530652225125E+00  1.810079674842919E-17  1.000000000000000E+00
  5.103040781666972E+02  4.639986546368418E+00  1.241564363522960E+00  2.297347143863204E-17  1.000000000000000E+00
  5.112603609693834E+02  4.640112221758646E+00  1.241597849031004E+00  4.647425260326851E-17  1.000000000000000E+00
  5.122166244318771E+02  4.640237072133758E+00  1.241631110411087E+00  6.398094829351470E-17  1.000000000000000E+00
  5.131728686814156E+02  4.640361102962498E+00  1.241664149310080E+00  7.555540754598499E-17  1.000000000000000E+00
  5.141290938443645E+02  4.640484319677378E+00  1.241696967360076E+00  5.948526675872516E-17  1.000000000000000E+00
  5.150853000462243E+02  4.640606727674912E+00  1.241729566178564E+00  5.756847254429417E-17  1.000000000000000E+00
  5.160414874116365E+02  4.640728332315840E+00  1.241761947368601E+00  5.026062208508740E-17  1.000000000000000E+00
  5.174757334119726E+02  4.640909244622781E+00  1.241810114571940E+00  3.175826594366319E-17  1.000000000000000E+00
  5.184318742259943E+02  4.641028864092683E+00  1.241841958611039E+00  3.640768927969094E-17  1.000000000000000E+00
  5.193879966331434E+02  4.641147698690083E+00  1.241873590521164E+00  5.422606493863804E-17  1.000000000000000E+00
  5.203441007542759E+02  4.641265753617506E+00  1.241905011842492E+00  3.371121110345543E-17  1.000000000000000E+00
  5.213001867094238E+02  4.641383034042931E+00  1.241936224101674E+00  2.436224820897562E-17  1.000000000000000E+00
  5.222562546178012E+02  4.641499545100007E+00  1.241967228811987E+00  1.821640567602561E-17  1.000000000000000E+00
  5.232123045978105E+02  4.641615291888272E+00  1.241998027473491E+00  1.226898868082062E-17  1.000000000000000E+00
  5.241683367670483E+02  4.641730279473372E+00  1.242028621573179E+00  6.513563960491423E-18  1.000000000000000E+00
  5.251243512423116E+02  4.641844512887277E+00  1.242059012585126E+00 -1.276463378469040E-17  1.000000000000000E+00
